name;county;province;lat;lon
Chojna;Wągrowiecki;Wielkopolskie;52.99942;17.27935
Dobieszewo;Nakielski;Kujawsko-Pomorskie;52.9979456;17.3312892
Dobieszewko;Nakielski;Kujawsko-Pomorskie;52.9833333;17.3416667
Karolinowo;Nakielski;Kujawsko-Pomorskie;52.9931951;17.3939618
Jaktorowo;Chodzieski;Wielkopolskie;53.3487;17.2354
Swoboda;Chodzieski;Wielkopolskie;53.4405;17.25042
Panigródz;Wągrowiecki;Wielkopolskie;52.9574;17.39797
Słupowiec;Nakielski;Kujawsko-Pomorskie;53.162663;17.3501004
Nowy Dwór;Chodzieski;Wielkopolskie;53.51933;17.2846217
Smogulec;Wągrowiecki;Wielkopolskie;53.3212;17.32432
Prostkowo;Wągrowiecki;Wielkopolskie;53.551878;17.294096
Lipa;Chodzieski;Wielkopolskie;53.4997;17.27643
Mieczkowo;Nakielski;Kujawsko-Pomorskie;53.6937;17.33767
Chwaliszewo;Nakielski;Kujawsko-Pomorskie;53.182953;17.378417
Smogulecka Wieś;Nakielski;Kujawsko-Pomorskie;53.288173;17.3465839
Laskownica;Nakielski;Kujawsko-Pomorskie;53.5156;17.35883
Słupowa;Nakielski;Kujawsko-Pomorskie;53.642;17.3669
Miaskowo;Nakielski;Kujawsko-Pomorskie;53.15998;17.3902139
Nowa Wieś Notecka;Nakielski;Kujawsko-Pomorskie;53.4766;17.37655
Stołężyn;Wągrowiecki;Wielkopolskie;52.934432;17.4477093
Wapno;Wągrowiecki;Wielkopolskie;52.91123;17.47195
Grocholin;Nakielski;Kujawsko-Pomorskie;52.9889605;17.4295789
Rusiec;Wągrowiecki;Wielkopolskie;52.93612;17.48054
Głogowiniec;Nakielski;Kujawsko-Pomorskie;52.9682815;17.4399295
Żurawia;Nakielski;Kujawsko-Pomorskie;52.97285;17.48672
Palmierowo;Nakielski;Kujawsko-Pomorskie;52.9712188;17.4608283
Włodzimierzewo;Nakielski;Kujawsko-Pomorskie;52.9561764;17.4847586
Górki Zagajne;Nakielski;Kujawsko-Pomorskie;52.91925;17.5722
Dziewierzewo;Nakielski;Kujawsko-Pomorskie;52.94702;17.5192
Graboszewo;Wągrowiecki;Wielkopolskie;52.9202714;17.4951166
Żarczyn;Nakielski;Kujawsko-Pomorskie;52.9158502;17.5342053
Miastowice;Nakielski;Kujawsko-Pomorskie;52.9712453;17.5277498
Turzyn;Nakielski;Kujawsko-Pomorskie;52.975019;17.5685976
Kazimierzewo;Nakielski;Kujawsko-Pomorskie;53.353534;17.4401575
Mycielewo;Nakielski;Kujawsko-Pomorskie;52.98796;17.5601
Rzemieniewice;Nakielski;Kujawsko-Pomorskie;52.99723;17.56658
Łankowice;Nakielski;Kujawsko-Pomorskie;53.1358;17.44951
Karmelita;Nakielski;Kujawsko-Pomorskie;53.963;17.48367
Sierniki;Nakielski;Kujawsko-Pomorskie;53.813;17.42045
Iwno;Nakielski;Kujawsko-Pomorskie;53.2448;17.42247
Ludwikowo;Nakielski;Kujawsko-Pomorskie;53.74332;17.4024846
Dębogóra;Nakielski;Kujawsko-Pomorskie;53.354366;17.4722222
Kowalewko;Nakielski;Kujawsko-Pomorskie;53.722486;17.4308548
Gromadno;Nakielski;Kujawsko-Pomorskie;53.5109;17.41183
Piotrowo;Nakielski;Kujawsko-Pomorskie;53.772485;17.4439424
Weronika;Nakielski;Kujawsko-Pomorskie;53.8113;17.458
Tupadły;Nakielski;Kujawsko-Pomorskie;53.85591;17.5028307
Malice;Nakielski;Kujawsko-Pomorskie;53.4374;17.5331951
Suchoręcz;Nakielski;Kujawsko-Pomorskie;53.899;17.5722
Szczepice;Nakielski;Kujawsko-Pomorskie;53.240815;17.5371067
Rozstrzębowo;Nakielski;Kujawsko-Pomorskie;53.269527;17.5246988
Sipiory;Nakielski;Kujawsko-Pomorskie;53.7323;17.50817
Zabłocie;Nakielski;Kujawsko-Pomorskie;53.3186;17.55435
Suchoręczek;Nakielski;Kujawsko-Pomorskie;53.247185;17.5713032
Studzienki;Nakielski;Kujawsko-Pomorskie;53.675154;17.5618843
Równopole;Pilski;Wielkopolskie;53.10044;16.91397
Rzadkowo;Pilski;Wielkopolskie;53.9177;16.93182
Śmiłowo;Pilski;Wielkopolskie;53.1363126;16.9224314
Brodna;Pilski;Wielkopolskie;53.16765;16.92453
Brzostowo;Pilski;Wielkopolskie;53.1112796;17.66834
Zelgniewo;Pilski;Wielkopolskie;53.19176;16.95551
Mościska;Pilski;Wielkopolskie;53.1718937;17.27201
